,Sl. No,Session,RaceNo,DriverNumber,LapTime,LapNumber,SpeedI1,SpeedI2,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,GridNo
126,,FP3,2,16,0 days 00:01:29.735000,21,282,321,325,TRUE,SOFT,6,FALSE,6,Ferrari,LEC,1,1
115,,FP3,2,1,0 days 00:01:29.768000,5,285,326,333,TRUE,SOFT,5,TRUE,1,Red Bull Racing,VER,1,2
128,,FP3,2,11,0 days 00:01:29.833000,10,287,329,334,TRUE,SOFT,3,TRUE,3,Red Bull Racing,PER,1,3
116,,FP3,2,55,0 days 00:01:30.009000,18,280,320,326,TRUE,SOFT,3,TRUE,4,Ferrari,SAI,1,4
134,,FP3,2,77,0 days 00:01:30.030000,12,283,327,329,TRUE,SOFT,4,TRUE,4,Alfa Romeo,BOT,1,5
119,,FP3,2,31,0 days 00:01:30.139000,13,284,322,328,TRUE,SOFT,6,TRUE,2,Alpine,OCO,1,6
129,,FP3,2,10,0 days 00:01:30.148000,7,281,325,331,TRUE,SOFT,7,TRUE,1,AlphaTauri,GAS,1,7
124,,FP3,2,20,0 days 00:01:30.262000,13,280,324,330,TRUE,SOFT,3,TRUE,5,Haas F1 Team,MAG,1,8
127,,FP3,2,14,0 days 00:01:30.296000,10,280,320,325,TRUE,SOFT,2,TRUE,3,Alpine,ALO,1,9
123,,FP3,2,22,0 days 00:01:30.415000,7,281,325,331,TRUE,SOFT,7,TRUE,1,AlphaTauri,TSU,1,10
118,,FP3,2,44,0 days 00:01:30.707000,16,279,317,322,TRUE,SOFT,9,TRUE,3,Mercedes,HAM,1,11
117,,FP3,2,47,0 days 00:01:30.765000,12,280,325,329,TRUE,SOFT,4,TRUE,4,Haas F1 Team,MSC,1,12
121,,FP3,2,24,0 days 00:01:30.946000,6,283,327,330,TRUE,SOFT,6,FALSE,2,Alfa Romeo,ZHO,1,13
133,,FP3,2,63,0 days 00:01:30.983000,9,278,318,323,TRUE,SOFT,3,TRUE,2,Mercedes,RUS,1,14
125,,FP3,2,18,0 days 00:01:31.067000,11,283,321,328,TRUE,SOFT,2,TRUE,6,Aston Martin,STR,1,15
132,,FP3,2,3,0 days 00:01:31.186000,9,275,314,322,TRUE,SOFT,2,TRUE,2,McLaren,RIC,1,16
122,,FP3,2,23,0 days 00:01:31.374000,9,280,319,324,TRUE,SOFT,3,TRUE,2,Williams,ALB,1,17
120,,FP3,2,27,0 days 00:01:31.424000,11,283,324,328,TRUE,SOFT,2,TRUE,5,Aston Martin,HUL,1,18
131,,FP3,2,4,0 days 00:01:31.529000,4,276,314,321,TRUE,SOFT,4,TRUE,1,McLaren,NOR,1,19
130,,FP3,2,6,0 days 00:01:31.992000,11,276,318,323,TRUE,SOFT,4,TRUE,2,Williams,LAT,1,20
135,,Q,2,11,0 days 00:01:28.200000,18,290,329,335,TRUE,SOFT,2,TRUE,6,Red Bull Racing,PER,1,1
136,,Q,2,16,0 days 00:01:28.225000,20,287,320,325,TRUE,SOFT,3,TRUE,7,Ferrari,LEC,1,2
137,,Q,2,55,0 days 00:01:28.402000,17,288,320,327,TRUE,SOFT,7,FALSE,6,Ferrari,SAI,1,3
138,,Q,2,1,0 days 00:01:28.461000,21,290,326,334,TRUE,SOFT,3,TRUE,6,Red Bull Racing,VER,1,4
139,,Q,2,31,0 days 00:01:29.068000,16,288,320,326,TRUE,SOFT,9,FALSE,4,Alpine,OCO,1,5
140,,Q,2,63,0 days 00:01:29.104000,19,286,313,322,TRUE,SOFT,3,TRUE,6,Mercedes,RUS,1,6
141,,Q,2,14,0 days 00:01:29.147000,19,285,319,328,TRUE,SOFT,2,TRUE,5,Alpine,ALO,1,7
142,,Q,2,77,0 days 00:01:29.183000,21,285,321,326,TRUE,SOFT,6,TRUE,4,Alfa Romeo,BOT,1,8
143,,Q,2,10,0 days 00:01:29.254000,17,285,323,328,TRUE,SOFT,5,FALSE,6,AlphaTauri,GAS,1,9
144,,Q,2,20,0 days 00:01:29.588000,20,284,325,330,TRUE,SOFT,7,FALSE,6,Haas F1 Team,MAG,1,10
145,,Q,2,4,0 days 00:01:29.651000,15,283,318,323,TRUE,SOFT,3,FALSE,5,McLaren,NOR,1,11
146,,Q,2,3,0 days 00:01:29.773000,16,282,314,321,TRUE,SOFT,4,FALSE,5,McLaren,RIC,1,12
147,,Q,2,24,0 days 00:01:29.819000,16,284,323,327,TRUE,SOFT,5,FALSE,4,Alfa Romeo,ZHO,1,13
148,,Q,2,47,0 days 00:01:29.920000,10,283,322,327,TRUE,SOFT,6,FALSE,3,Haas F1 Team,MSC,1,14
150,,Q,2,44,0 days 00:01:30.343000,10,285,317,324,TRUE,SOFT,6,TRUE,2,Mercedes,HAM,1,15
151,,Q,2,23,0 days 00:01:30.492000,8,288,323,326,TRUE,SOFT,4,TRUE,2,Williams,ALB,1,16
152,,Q,2,27,0 days 00:01:30.543000,9,287,318,325,TRUE,SOFT,2,TRUE,3,Aston Martin,HUL,1,17
149,,Q,2,18,0 days 00:01:31.009000,14,285,322,325,TRUE,SOFT,5,FALSE,5,Aston Martin,STR,1,18
153,,Q,2,6,0 days 00:01:31.817000,2,282,321,325,TRUE,SOFT,2,TRUE,1,Williams,LAT,1,19
155,,FP1,3,55,0 days 00:01:19.806000,16,272,308,311,TRUE,SOFT,5,FALSE,5,Ferrari,SAI,1,1
164,,FP1,3,16,0 days 00:01:20.377000,13,273,306,302,TRUE,SOFT,4,TRUE,2,Ferrari,LEC,1,2
166,,FP1,3,11,0 days 00:01:20.399000,17,278,320,320,TRUE,SOFT,4,TRUE,5,Red Bull Racing,PER,1,3
154,,FP1,3,1,0 days 00:01:20.626000,14,277,320,319,TRUE,SOFT,4,TRUE,3,Red Bull Racing,VER,1,4
170,,FP1,3,4,0 days 00:01:20.878000,13,274,309,312,TRUE,SOFT,4,TRUE,2,McLaren,NOR,1,5
158,,FP1,3,31,0 days 00:01:21.004000,20,277,311,312,TRUE,SOFT,8,TRUE,3,Alpine,OCO,1,6
157,,FP1,3,44,0 days 00:01:21.027000,17,274,311,,TRUE,SOFT,7,TRUE,2,Mercedes,HAM,1,7
171,,FP1,3,3,0 days 00:01:21.155000,15,270,304,310,TRUE,SOFT,4,TRUE,2,McLaren,RIC,1,8
165,,FP1,3,14,0 days 00:01:21.229000,20,275,314,314,TRUE,SOFT,5,TRUE,4,Alpine,ALO,1,9
173,,FP1,3,77,0 days 00:01:21.247000,15,273,314,313,TRUE,SOFT,5,TRUE,3,Alfa Romeo,BOT,1,10
161,,FP1,3,22,0 days 00:01:21.289000,17,272,313,313,TRUE,SOFT,6,TRUE,2,AlphaTauri,TSU,1,11
172,,FP1,3,63,0 days 00:01:21.457000,16,276,312,312,TRUE,SOFT,9,TRUE,3,Mercedes,RUS,1,12
169,,FP1,3,5,0 days 00:01:21.661000,13,273,304,304,TRUE,SOFT,2,TRUE,2,Aston Martin,VET,1,13
167,,FP1,3,10,0 days 00:01:21.701000,17,272,310,311,TRUE,SOFT,7,FALSE,3,AlphaTauri,GAS,1,14
159,,FP1,3,24,0 days 00:01:21.821000,14,274,313,310,TRUE,SOFT,4,TRUE,3,Alfa Romeo,ZHO,1,15
163,,FP1,3,18,0 days 00:01:21.869000,14,276,309,308,TRUE,SOFT,6,TRUE,2,Aston Martin,STR,1,16
160,,FP1,3,23,0 days 00:01:22.754000,16,274,310,310,TRUE,SOFT,5,TRUE,3,Williams,ALB,2,17
162,,FP1,3,20,0 days 00:01:23.186000,15,263,304,298,TRUE,SOFT,4,TRUE,3,Haas F1 Team,MAG,1,18
168,,FP1,3,6,0 days 00:01:23.924000,15,270,311,312,TRUE,SOFT,6,TRUE,2,Williams,LAT,2,19
156,,FP1,3,47,0 days 00:01:24.349000,12,263,304,298,TRUE,SOFT,4,TRUE,4,Haas F1 Team,MSC,1,20
184,,FP2,3,16,0 days 00:01:18.978000,16,280,312,311,TRUE,SOFT,9,FALSE,3,Ferrari,LEC,1,1
174,,FP2,3,1,0 days 00:01:19.223000,13,281,319,318,TRUE,SOFT,8,TRUE,2,Red Bull Racing,VER,1,2
175,,FP2,3,55,0 days 00:01:19.376000,13,280,309,309,TRUE,SOFT,6,FALSE,4,Ferrari,SAI,1,3
185,,FP2,3,14,0 days 00:01:19.537000,8,280,318,320,TRUE,SOFT,2,TRUE,2,Alpine,ALO,1,4
186,,FP2,3,11,0 days 00:01:19.658000,10,278,318,318,TRUE,SOFT,5,FALSE,3,Red Bull Racing,PER,1,5
178,,FP2,3,31,0 days 00:01:19.842000,13,282,318,318,TRUE,SOFT,6,TRUE,2,Alpine,OCO,1,6
192,,FP2,3,77,0 days 00:01:20.055000,15,276,312,310,TRUE,SOFT,7,TRUE,3,Alfa Romeo,BOT,1,7
189,,FP2,3,4,0 days 00:01:20.100000,9,275,310,,TRUE,SOFT,3,TRUE,3,McLaren,NOR,1,8
187,,FP2,3,10,0 days 00:01:20.142000,14,275,315,314,TRUE,SOFT,6,TRUE,2,AlphaTauri,GAS,1,9
190,,FP2,3,3,0 days 00:01:20.203000,11,273,307,310,TRUE,SOFT,2,TRUE,2,McLaren,RIC,1,10
191,,FP2,3,63,0 days 00:01:20.212000,13,274,309,311,TRUE,SOFT,7,TRUE,2,Mercedes,RUS,1,11
